Date,Author,Target,Description,Attack,Target Category,Country,Taxonomy,Attack Class
1/3/2014,Unknown,,"The servers for Steam, Origin, Battle.net, and League of Legends are brought down temporarily by apparent DDoS attacks that seem to be related to a swatting attack on an individual known for streaming games.",DDoS,Video Games,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
1/3/2014,Unknown,,,DDoS,Video Games,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
1/3/2014,Unknown,,,DDoS,Video Games,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
1/3/2014,Unknown,,,DDoS,Video Games,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
1/4/2014,,,"A hacker using the handle @smitt3nz hacks the World Poker Tour Amateur Poker League Website (wptapl.com) and dumps 175,333 accounts with emails and clear text passwords.",DDoS,Government,AO,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
1/5/2014,Unknown,,"Three of the largest private BitTorrent trackers are offline due to prolonged DDoS attacks. Target are: What.cd, Broadcasthe.net, PassthePopcorn.me.",DDoS,Torrent Tracker,N/A,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
1/8/2014,,,In name of OpFunKill the Anonymous take down the Namibia main Government portal gov.na,DDoS,Government,NA,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
1/16/2014,,,And immediately after the RedHack collective takes down  the official website of the Central Bank of Turkey (tcmb.gov.tr),DDoS,Government,TR,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
1/19/2014,Unknown,,"Virtual private server firm ThrustVPS is the victim of a DDOS and Spear-Phishing attack and, as a precaution, asks to its customers to change passwords.",DDoS,Internet Services,UK,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
1/19/2014,,,The Anonymous take down the official website of Fullerton police department against the arrest of protesters and acquittal of police officers who had beaten the homeless Kelly Thomas to death in 2011.,DDoS,Law Enforcement,US,17.03 Distributed Denial of Service (DDOS) Security,Media Public Perception
1/24/2014,Unknown,,"Several websites of the US federal court system, including the ones of the United States Courts (uscourts.gov) and Public Access to Court Electronic Records (pacer.gov), are taken down by a DDOS attack.",DDoS,Government,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
1/27/2014,Unknown,,GitHub is taken down by a DDoS Attack,DDoS,Web Hosting,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
2/7/2014,,,"In name of OpCannabis the Anonymous hack the website of the  Head of Department for Drug Policy Giovanni Serpelloni (defaced and DB dumped), the Ministry of Health (DDoS’ed) and several other anti-drug websites (DDoS’ed).",Defacement,Government,IT,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
2/9/2014,Unknown,,"A distributed denial-of-service attack targeting Cloudflare reaches 400 gigabits per second,making it the largest DDoS attack ever recorded.",DDoS,Internet Services,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
2/10/2014,Unknown,,"Reuters report that the virtual currency Bitcoin is being hit by attacks from unknown hackers sending ""mutated"" lines of code into the program that runs the virtual currency.",DDoS,Bitcoin,N/A,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
2/11/2014,,,"The United Kingdom’s Ministry of Justice website, justice.gov.uk, is disrupted by a distributed denial-of-service (DDOS) attack. The Ministry of Justice’s was targeted for not condemning the NSA’s surveillance operations.",DDoS,Government,UK,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
2/11/2014,,,Even the website of the Government Communications Headquarters (gchq.gov.uk) is disrupted by a DDoS attack,DDoS,Government,UK,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
2/11/2014,Unknown,,Bitcoin exchange service Bitstamp suspends withdrawals while dealing with a denial-of-service (DOS) attack. ,DDoS,Bitocoin Exchange,UK,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
2/17/2014,Unknown,,"After being knocked down by a DDoS attack, the operator of the online playing-game Wurm online offer a bounty of € 10.000 ($13,000) to gather any information about the author of the attack",DDoS,Online Games,SE,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
2/19/2014,Unknown,,The Web-hosting service Namecheap is hit with one the largest distributed-denial-of-service attacks affecting roughly 300 domain names hosted by Namecheap.,DDoS,Internet Services,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
2/25/2014,,,Anonymous hackers target once again several websites of the Philippines government. The hacktivists are protesting against a provision of the Cybercrime Prevention Act that violates freedom of speech.,DDoS,Government,PH,17.03 Distributed Denial of Service (DDOS) Security,Activist Hacktivist
2/27/2014,,,"Hacktivists continue to launch attacks against Ukrainian government websites. The latest targets are the sites of the parliament, or the Verkhovna Rada (rada.gov.ua), the Right Sector nationalist movement (banderivets.org.ua), but also some Euromaidan websites.",DDoS,Government,UA,17.03 Distributed Denial of Service (DDOS) Security,Activist Hacktivist
3/1/2014,Unknown,,Meetup.com is DDoSed by an unknown extortionist after refusing to pay ransom.,DDoS,Social Network,US,17.03 Distributed Denial of Service (DDOS) Security,Data Theft
3/3/2014,Unknown,,"The Ruptly international video news agency (ruptly.tv), which is part of the RT (Russia Today) global news network, suffers a DDoS attack.",Unknown,News,RU,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
3/10/2014,Unknown,,Yet another DDoS attack targeting GitHub.,DDoS,Social Network,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
3/13/2014,,,The official websites of the Russian Federation’s president and central bank are taken offline by a DDoS attack.,DDoS,Government,RU,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
3/14/2014,,,A group of Pro-Russian Ukrainian hackers calling themselves Cyber Berkut claim responsibility for a DDoS attack taking down several NATO Web sites amid rising tensions over military incursions into the Crimean peninsula.,DDoS,Military,INT,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
3/19/2014,Unknown,,Hootsuite is the victim of a DDoS Attack.,DDoS,internet,CA,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
3/20/2014,Unknown,,Nothing new under the sun. Github is the victim of another DDoS attack.,DDoS,Social Network,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
3/23/2014,Unknown,,"After refusing to pay a ransom, Basecamp is the victim of a DDoS  attack.",DDoS,Software,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
3/26/2014,,,Hackers of the RedHack group have launched a cyberattack against the official website of Turkey’s Telecommunications Directorate (tib.gov.tr) in response to the decision to ban YouTube and Twitter in the country.,DDoS,Government,TR,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
3/29/2014,,,The Albuquerque Police Department is the target of a DDoS attack carried on by the Infamous Anonymous collective.,DDoS,Law Enforcement,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
3/31/2014,Unknown,,"Email marketing service Mad Mimi is hit by a DDoS attack. Shortly after, they receive an email from someone who asked for 1.8 Bitcoins to stop launching attacks.",DDoS,Email Marketing,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
4/1/2014,Unknown,,"A DDoS attack takes down the Kansas Interactive Testing Engine (KITE, ksassessments.org), Kansas' new online student testing system.",DDoS,Education,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
4/20/2014,Unknown,,"Typepad, the famous blogging platform is under a sustained DDoS Attack",DDoS,Blog Hosting,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
4/23/2014,,,"In name of OpJustinaPelletier, the Anonymous take down the website of the Boston Children's Hospital.",DDoS,Health,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
4/29/2014,Unknown,,UltraDNS is the victim of a DDoS Attack.,DDoS,Internet Services,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
4/30/2014,Unknown,,US Casino operator Affinity Gaming has its credit card processing system hacked for the second time in less than a year.,DDoS,Gaming,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
5/8/2014,Unknown,,"Domain hosts Point DNS has been hammered with a high intensity DDoS attack on Friday, knocking servers out for hours.",DDoS,Internet Services,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
5/16/2014,Unknown,,Yet another DDoS attack. This time the victim is moz.com.,DDoS,Software,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
5/19/2014,Unknown,,Plenty of Fish is the latest victim of a DDoS attack.,DDoS,Dating,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
6/6/2014,Unknown,,"First DDoS of the Month: the victim is the French music service Deezer, which remains unavailable during the weekend.",DDoS,Online Services (Music Streaming),FR,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
6/7/2014,Unknown,Undisclosed Online Gambling,cloud-based security services provider Incapsula states to have fought off a 100 Gbps DDoS attack against an online gambling website. ,DDoS,Online Gambling,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
6/10/2014,Unknown,,"News aggregator Feedly is made inaccessible by a DDoS attack. Attackers demand a ransom to stop their crippling assault, which the company refuses to pay.",DDoS,News Aggregator,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
6/10/2014,Unknown,,"And almost in contemporary, it’s up to Evernote to fall down under a sustained DDoS attack.",DDoS,Software,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
6/11/2014,,,"In Name of #OpWorldcup, various websites (>60) associated to the World Cup are the victims of a DDoS attack ahead of the tournament's opening match.",DDoS,Government,BR,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
6/16/2014,Unknown,,The genealogy site ancestry.com has been blasted off the internet after reportedly being hit by a DDoS attack.,DDoS,Online Services,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
6/17/2014,Unknown,,"Move, Inc. is hit by a major DDoS attack.",DDoS,Internet Services,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
6/18/2014,Unknown,,"Code Spaces, a code-hosting service  abruptly closes after someone gains unauthorized access to its Amazon Web Service account and deletes most of the customer data. The company refused to pay a ransom after being extorted via a DDoS attack.",DDoS,Internet Services,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
6/21/2014,Unknown,,"One of the largest and most sophisticated DDoS attacks (300 Gbps peak) hits popvote.hk, an online democracy poll canvassing opinion on future Hong Kong elections.",DDoS,Internet,HK,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
6/23/2014,Unknown,Unnamed Video Games Company,"Incapsula unveils the details of a DDoS attack against an unnamed Video Games company, achieving a peak of 90 million requests for second.",Account Hijacking,Video Games,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
7/27/2014,,,"In name of #OpSaveGaza, the Anonymous collective claims responsibility of taking down the websites of: bankisrael.gov.il, mossad.gov.il, justice.gov.il, edu.gov.il, idf.gov.il, telaviv.police.gov.il.",Account Hijacking,Government,IL,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
7/28/2014,Unknown,,"The largest fixed wireless broadband carrier in Australia, Cirrus Communications, suffers a major DDoS attack, which takes out over half of its network.",DDoS,ISP,AU,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
8/3/2014,Monte Melkonian Cyber Army,,A group of Armenian hackers going with the handle of Monte Melkonian Cyber Army (MMCA) claim to have defaced several Azerbaijani websites and to have executed a DDoS attack against  Azerbaijani targets reaching 300 Gbps. The reason behind the attack is an ongoing border clash between Armenia and Azerbaijan.,DDoS,Government,AZ,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
8/5/2014,,,"In name of #OpNoHunt, a collective called Paw Security takes down several Chinese websites to protest against violences on pets.",DDoS,Government,CN,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
8/13/2014,Unknown,,"In the wake of the shooting of unarmed teen Michael Brown, hackers launch a cyberattack to take out the St. Louis County Police department's website and email.",Defacement,Law Enforcement,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
8/23/2014,,,"Sony admits that a DDoS attack impacted online services, Sony's PlayStation Network and the Sony Entertainment Network. The authors are identified as a collective calling themselves Lizard Squad. Other affected services involve: Xbox Live, Blizzard's Battle.net, and Grinding Gear Games. In the same hours a bomb scare involves a flight carrying a Sony executive.",DDoS,Video Games,JP,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
8/23/2014,,,"In name of #OpSaveGaza, the Anonymous collective claims to have taken down some key Israeli governmental websites.",DDoS,Government,IL,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
8/29/2014,,,"In name of #OpPakistan (and to protest against police brutality) the Anonymous collective takes down several governmental Pakistani websites including Pakistan Army’s recruitment website, government of Punjab’s official portal, Pakistan Meteorological Department, and several other high profile government and military websites.",DDoS,Government,PK,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
8/31/2014,,,"A group of hacktivists calling themselves 'Anonymous Op Pakistan' take down numerous government portals in a bid to remove ""every vestige of the Pakistan government from the Internet"".",DDoS,Government,PK,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
9/17/2014,Unknown,,"RT.com is hit with the most powerful DDoS attack in the website's history, which reached 10 Gbps in strength.",DDoS,News,RU,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
9/22/2014,,,"Hackers from the group Lizard Squad reneged on their promise to quit earlier this month, apparently launching DDoS attacks against Blizzard’s servers running Call Of Duty: Ghosts and Destiny",DDoS,Video Games,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
9/27/2014,Unknown,,The Social Network Ello is the target of a DDoS attack.,DDoS,Social Network,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
10/24/2014,,,The official website of Ukraine’s election commission (cvk.gov) is targeted by a massive DDoS attack on the eve of country’s parliamentary polls. The pro-Russian Cyber-Berkut collective claims responsibility for the attack.,DDoS,Government,UA,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
10/25/2014,,,"In Name of #OpOrwahHammad, the Anonymous claim to have taken down 43 top Israeli government websites against shooting and killing of a 14-year-old U.S. citizen Orwah Hammad by Israeli Defence Forces.",DDoS,Government,IL,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
10/27/2014,Unknown,,"The computer systems of the public services in Phoenix, Arizona, are the target of a DDoS Attack.",DDoS,Government,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
11/8/2014,Unknown,Doxbin,"The co-operator of Doxbin, a site that allowed others to post personal identifying information frequently used for intimidation, identity theft, or other malicious purposes, reveals the details of an apparent DDoS attack allegedly used to uncover its actual location. The same approach may have been used to expose other darknet servers seized by law enforcement as part of Operation Onymous.",DDoS,Online Services (Darknet),US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
11/12/2014,,,Blizzard confirms that World of Warcraft servers are the targets of a sustained DDoS attack. A collective called Derp claims responsibility for the attack.,DDoS,Video Game,AU,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
11/21/2014,,,Hackers affiliated to Anonymous take down the Supreme Court of Canada and the Ottawa Police Services websites.,DDoS,Government,CA,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
11/21/2014,,,"The Anonymous declare the 22 November, the International Day against Police Violence, and take down several Police sites in Italy.",DDoS,Law Enforcement,IT,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
11/22/2014,,,Hackers affiliated to Anonymous take down the Supreme Court of Canada and the Ottawa Police Services websites.,DDoS,Government,CA,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
11/22/2014,,,The hacking group Lizard Squad takes down the Electronics Art Online services.,DDoS,Entertainment,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
11/23/2014,,,The  Anonymous take down the Cleveland City website (city.cleveland.oh.us) in retaliation for the police killing of a 12-year-old boy carrying a toy air gun.,DDoS,Government,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
11/28/2014,Unknown,,"Unknown hackers disrupt the website used to elect a new leader of France's main opposition party, the UMP.",DDoS,Government,FR,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
11/30/2014,Unknown,,DNSSimple confirms to have suffered a 25 gbps DDoS attack.,DDoS,Internet Services,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
12/1/2014,,,The Lizard Patrol takes credit for taking down the XboX Live service in United States and Canada.,DDoS,Video Games,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
12/2/2014,,,"In name of “Operation Lift the Bans” the Anonymous take down the websites of the City of Fort Lauderdale  fortlauderdale.gov and the police department website, flpd.org. The attack is performed in retaliation against the “Anti-Homeless Law”.",DDoS,Government,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
12/7/2014,,,The collective LizardPatrol claims responsibility for taking down the Sony Playstation Network.,DDoS,Video Games,JP,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
12/8/2014,,,"Much of Sweden's fixed-line broadband users become collateral damage as a result of a DDoS attack on a mystery gaming according to a statement by Telia, a local ISP. It is believed that the LizardPatrol is behind this attack as well.",DDoS,Video Games,SE,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
12/9/2014,,,"The Anonymous claims responsibility for taking down several Oakland websites (The City, the Fire Department and the Police Department). The attack is carried on for backing the protests raising after grand juries in Missouri and New York decided not to indict white police officers in the killings of unarmed black men.",DDoS,Government,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
12/11/2014,,,"Yet another attack against Telia, in retaliation against the Police Raid on The Pirate Bay.",DDoS,Telco,SE,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
12/21/2014,Unknown,,Rackspace is the victim of a DDoS attack targeting its infrastructure and impacting also the legitimate traffic to their DNS infrastructure.,DDoS,Managed Cloud Computing,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
12/22/2014,Gator League,,"Here they are again, the Gator League claims to have taken down the official website of Britain’s Government Communications Headquarters (GCHQ) surveillance agency (gchq.gov.uk).",DDoS,Entertainment,US,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
12/24/2014,,,A bad surprise for online players. The Lizard Squad knocks gaming networks offline with a DDoS attack against PSN and XboX Live. The attack is suspended after a controversial mediation by Kim Dotcom.,DDoS,Gaming,Multi,17.03 Distributed Denial of Service (DDOS) Security,Business Disruption
1/1/2015,Unknown,Unknown,Some gamers notice purchases that they didn’t make in their accounts for Electronic Arts’ Origin service. The company does not confirm the hack though.,DDoS,Video Games,US,11.04 Web Fraud Prevention,False Claims of Digital Identity
1/1/2015,Unknown,Unknown,The new year starts in a terrible way for the Finnish bank OP Pohjola Group and its customers. A DDoS attack floods OP's data communications systems and prevents customers from executing online transactions.,DDoS,Finance,FI,17.03 Distributed Denial of Service (DDOS) Security,Mass Malware
1/1/2015,Unknown,Unknown,"A group of hackers calling themselves H4LT hacking team publishes the Xbox One SDK, and threatens to leak unreleased game builds.",DDoS,Video Games,US,3.05 Ransomware Prevention,Activist Hacktivist
1/1/2015,Unknown,Unknown,"Zyklon hacks en.asiadcp.com and dumps 3,361 usernames and clear text passwords.",Unknown,E-Commerce,CN,25.04 Web Application Firewall (WAF),Data Theft
1/1/2015,Unknown,Unknown,"Zyklon hacks differencegames.com and dumps 1,804 usernames and clear text passwords.",DDoS,Video Games,US,25.04 Web Application Firewall (WAF),Data Theft
